model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5457,0.0275,0.6592,377.2
Linear_SVM,0.1776,0.0156,0.5609,377.2
