model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.2287,0.0224,0.2655,14.0
Linear_SVM,0.2003,0.0186,0.2989,14.0
