assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
8,8_holy evening_wreath_praise god_evening good,1,ko (1),uk (1),1,1.0
14,14_mandarin ducks_longing_mandarin_giyeok,1,ko (1),uk (1),1,1.0
17,17_seaman_sailing_sailors_dear fatherland,4,nl (4),uk (4),4,1.0
21,21_bark_shouts_trees_flee,9,cs (3),nl (3),10,0.9
26,26_beautiful hay_mowed hay_hay_sheepfold,12,cs (5),et (9),14,0.8571428571428571
12,12_dear maiden_praise_roses_joyful,8,ko (3),ko (3),10,0.8
27,27_shines brightly_praise_worthy praise_praise lord,3,nl (2),uk (3),4,0.75
0,0_praise_sorrow_god_soul,646,ko (328),uk (646),862,0.7494199535962877
23,23_spindle_spinning_rooster_spin,14,ko (8),et (13),19,0.7368421052631579
25,25_little wine_heaven_drink little_lord god,71,cs (23),nl (66),103,0.6893203883495146
18,18_want farmer_pepíček_praises_horses,6,et (2),cs (4),9,0.6666666666666666
9,9_lullaby lullaby_lullaby_sleeping lullaby_lullaby sleeping,6,ko (5),et (5),12,0.5
24,24_rice cake_rice fields_arirang arariyo_sangju,19,ko (10),nl (11),40,0.475
19,19_widow_widow widow_allow mother_green meadow,5,ko (3),uk (5),13,0.38461538461538464
13,13_lullaby baby_lullaby_lullaby lullaby_lullaby little,3,et (1),uk (1),8,0.375
28,28_joyful spirit_bride_feast_noblemen,2,ko (2),nl (2),13,0.15384615384615385
20,20_lullaby lullaby_lullaby_lullaby baby_sleep lullaby,5,uk (3),ko (5),41,0.12195121951219512
22,22_weaving song_song weaving_fairy_sound dragon,1,et (1),ko (1),20,0.05
