model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5719,0.0229,0.6317,488.8
Linear_SVM,0.5001,0.0147,0.6196,488.8
