model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.3894,0.0305,0.4569,11.0
Linear_SVM,0.3709,0.0235,0.4758,11.0
