model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.3965,0.0449,0.5196,293.6
Linear_SVM,0.303,0.0151,0.4644,293.6
