model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5357,0.0135,0.5253,472.4
Linear_SVM,0.3563,0.0199,0.3952,472.4
