assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
4,4_little birds_horses_horse_poor parish,4,uk (2),ko (4),4,1.0
7,7_tended herd_servant_plow_shepherd,43,cs (17),ko (29),61,0.7049180327868853
0,0_spirit_flowers_maiden_wind,368,uk (187),ko (368),613,0.600326264274062
3,3_servant_servants_piet_dip,12,cs (5),ko (12),21,0.5714285714285714
8,8_bride_wedding_maidens_marriage,121,ko (39),nl (105),254,0.4763779527559055
6,6_village_skirt_autumn_bread,70,cs (29),ko (70),162,0.43209876543209874
5,5_hwanghae_flowers_river_bloom flowers,14,et (5),ko (14),77,0.18181818181818182
