model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.3363,0.0366,0.3395,5.0
Linear_SVM,0.2599,0.0163,0.3311,5.0
