model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5255,0.0145,0.5131,461.2
Linear_SVM,0.4311,0.0261,0.4584,461.2
