model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.4402,0.03,0.4422,15.0
Linear_SVM,0.3746,0.0162,0.4326,15.0
