model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.6783,0.0194,0.6728,203.2
Linear_SVM,0.6675,0.0264,0.6708,203.2
