model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.351,0.04,0.4557,236.4
Linear_SVM,0.3145,0.0157,0.4363,236.4
