model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.3762,0.0416,0.3763,16.0
Linear_SVM,0.288,0.0186,0.3378,16.0
