item_id,download_link
seungju-0322,http://urisori.co.kr/sound/origin/jn/seungju/seungju-0322.mp3
geumreung-0313,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0313.mp3
yeongcheon-0216,http://urisori.co.kr/sound/origin/gb/yeongcheon/yeongcheon-0216.mp3
ulsan-0706,http://urisori.co.kr/sound/origin/gn/ulsan/ulsan-0706.mp3
gunwi-0225,http://urisori.co.kr/sound/origin/gb/gunwi/gunwi-0225.mp3
jeongeup-0457,http://urisori.co.kr/sound/origin/jb/jeongeup/jeongeup-0457.mp3
andong-0808,http://urisori.co.kr/sound/origin/gb/andong/andong-0808.mp3
gangjin-0318,http://urisori.co.kr/sound/origin/jn/gangjin/gangjin-0318.mp3
gapyeong-0307,http://urisori.co.kr/sound/origin/gg/gapyeong/gapyeong-0307.mp3
cheongwon-0314,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0314.mp3
incheon-0236,http://urisori.co.kr/sound/origin/gg/incheon/incheon-0236.mp3
muan-0143,http://urisori.co.kr/sound/origin/jn/muan/muan-0143.mp3
eumseong-0204,http://urisori.co.kr/sound/origin/cb/eumseong/eumseong-0204.mp3
haenam-0344,http://urisori.co.kr/sound/origin/jn/haenam/haenam-0344.mp3
yeongdeok-0121,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0121.mp3
sinan-0912,http://urisori.co.kr/sound/origin/jn/sinan/sinan-0912.mp3
gyeongju-0103,http://urisori.co.kr/sound/origin/gb/gyeongju/gyeongju-0103.mp3
euiryeong-0401,http://urisori.co.kr/sound/origin/gn/euiryeong/euiryeong-0401.mp3
euiseong-0608,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0608.mp3
buan-0112,http://urisori.co.kr/sound/origin/jb/buan/buan-0112.mp3
gochang-0719,http://urisori.co.kr/sound/origin/jb/gochang/gochang-0719.mp3
gn.goseong-0107,http://urisori.co.kr/sound/origin/gn/gn.goseong/gn.goseong-0107.mp3
milyang-2001,http://urisori.co.kr/sound/origin/gn/milyang/milyang-2001.mp3
taean-0410,http://urisori.co.kr/sound/origin/cn/taean/taean-0410.mp3
wonju-0513,http://urisori.co.kr/sound/origin/gw/wonju/wonju-0513.mp3
inje-0716,http://urisori.co.kr/sound/origin/gw/inje/inje-0716.mp3
gimje-0318,http://urisori.co.kr/sound/origin/jb/gimje/gimje-0318.mp3
seonsan-0205,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0205.mp3
yeongi-0602,http://urisori.co.kr/sound/origin/cn/yeongi/yeongi-0602.mp3
gochang-0507,http://urisori.co.kr/sound/origin/jb/gochang/gochang-0507.mp3
yangyang-0417,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-0417.mp3
jinyang-0426,http://urisori.co.kr/sound/origin/gn/jinyang/jinyang-0426.mp3
anseong-0105,http://urisori.co.kr/sound/origin/gg/anseong/anseong-0105.mp3
jeomchon-0108,http://urisori.co.kr/sound/origin/gb/jeomchon/jeomchon-0108.mp3
seungju-0329,http://urisori.co.kr/sound/origin/jn/seungju/seungju-0329.mp3
pyeongchang-0502,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-0502.mp3
daegu-0714,http://urisori.co.kr/sound/origin/gb/daegu/daegu-0714.mp3
hwacheon-0603,http://urisori.co.kr/sound/origin/gw/hwacheon/hwacheon-0603.mp3
hampyeong-0402,http://urisori.co.kr/sound/origin/jn/hampyeong/hampyeong-0402.mp3
andong-0608,http://urisori.co.kr/sound/origin/gb/andong/andong-0608.mp3
inje-0605,http://urisori.co.kr/sound/origin/gw/inje/inje-0605.mp3
cheongwon-0204,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0204.mp3
muan-0723,http://urisori.co.kr/sound/origin/jn/muan/muan-0723.mp3
haman-0620,http://urisori.co.kr/sound/origin/gn/haman/haman-0620.mp3
namjeju-0202,http://urisori.co.kr/sound/origin/jj/namjeju/namjeju-0202.mp3
seungju-0331,http://urisori.co.kr/sound/origin/jn/seungju/seungju-0331.mp3
jinan-0614,http://urisori.co.kr/sound/origin/jb/jinan/jinan-0614.mp3
jeongseon-0110,http://urisori.co.kr/sound/origin/gw/jeongseon/jeongseon-0110.mp3
goheung-0227,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0227.mp3
iksan-0223,http://urisori.co.kr/sound/origin/jb/iksan/iksan-0223.mp3
cheongsong-0506,http://urisori.co.kr/sound/origin/gb/cheongsong/cheongsong-0506.mp3
hoengseong-0324,http://urisori.co.kr/sound/origin/gw/hoengseong/hoengseong-0324.mp3
gochang-0602,http://urisori.co.kr/sound/origin/jb/gochang/gochang-0602.mp3
wonju-1104,http://urisori.co.kr/sound/origin/gw/wonju/wonju-1104.mp3
milyang-0507,http://urisori.co.kr/sound/origin/gn/milyang/milyang-0507.mp3
yeongam-0518,http://urisori.co.kr/sound/origin/jn/yeongam/yeongam-0518.mp3
jeongseon-0303,http://urisori.co.kr/sound/origin/gw/jeongseon/jeongseon-0303.mp3
bonghwa-0716,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0716.mp3
sangju-1216,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1216.mp3
jangsu-0334,http://urisori.co.kr/sound/origin/jb/jangsu/jangsu-0334.mp3
gochang-0207,http://urisori.co.kr/sound/origin/jb/gochang/gochang-0207.mp3
bukjeju-0705,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-0705.mp3
