item_id,Filename
Pod_118,Kmeln_ballads_529_Yikhav kozak z Ukrainy
Pod_119,"Kmeln_ballads_530_Svity, misiachenku"
Pod_120,Kmeln_ballads_533_Ya dumala
Pod_123,Kmeln_ballads_534_Ya dumala
Pod_124,Kmeln_ballads_535_Ya zh dumala
Pod_125,Kmeln_ballads_536_Tykhyi Dunai
Pod_126,Kmeln_ballads_537_Tykhyi Dunai
Pod_127,Kmeln_ballads_539_Oi u sadochku
Pod_128,Kmeln_ballads_540_Zashumiv teren
Pod_129,Kmeln_ballads_541v_Kosyt Vasyl sino
Pod_130,Kmeln_ballads_542_i V zelenii dubyni
Pod_131,Kmeln_ballads_543_Oi u chystim poli
Pod_132,Kmeln_ballads_545_Chervona kalyno
Pod_133,Kmeln_ballads_546_Chervona kalyno
Pod_134,Kmeln_ballads_546v_Chervona kalyno
Pod_135,Kmeln_ballads_549_Oi u luzi pry kalyni
Pod_136,"Kmeln_ballads_551_Chy tobi, kovaliu"
Pod_137,"Kmeln_ballads_552_Oi kovale, kovalenku"
Pod_138,"Kmeln_ballads_553_Oi ty, kovaliu"
Pod_139,Kmeln_ballads_556_Na yaponskim bierehu
Pod_140,Kmeln_ballads_557_Yikhav kozak dolynoiu
Pod_141,Kmeln_ballads_558_Molodyi kozache
Pod_142,"Kmeln_ballads_559_Ne khody, kozache"
Pod_143,"Kmeln_ballads_559v_Ne khody, kozache"
Pod_146,"Kmeln_ballads_561_Oi ty, divchyno"
Pod_147,Kmeln_ballads_562_Shcho ty robysh
Pod_149,Kmeln_ballads_565_Shcho ty robysh
Pod_150,Kmeln_ballads_566_Ya v horodi Bohuslavi
Pod_151,Kmeln_ballads_567_Oi stoiav ya pid verboiu
Pod_153,Kmeln_ballads_570_Oi u poli ozerechko
Pod_154,"Kmeln_ballads_571_Ty, misiatsiu-perekroiu"
Pod_155,"Kmeln_ballads_571v_Ty, misiatsiu-perekroiu"
Pod_156,Kmeln_ballads_573_Oi poikhav mii mylyi
Pod_157,Kmeln_ballads_575_Oi vyidu ya na horu
Pod_158,Kmeln_ballads_576_Khodyt Ivan ponad lyman
Pod_159,Kmeln_ballads_577_Khody Ivan ponad Dunai
Pod_160,Kmeln_ballads_577v1_Khody Ivan ponad Dunai
Pod_161,Kmeln_ballads_577v2_Khody Ivan ponad Dunai
Pod_162,"Kmeln_ballads_578_Oi piana ya, azh valiusia"
Pod_163,Kmeln_ballads_580v_Mala maty odnu dochku
Pod_164,Kmeln_ballads_581_Posiiu shalviiu
Pod_165,Kmeln_ballads_581v_Posiiu shalviiu
Pod_166,Kmeln_ballads_582_y Posiiu shalviiu
Pod_167,Kmeln_ballads_583_i Posiiu shalviiu
Pod_168,"Kmeln_ballads_584_Dala-s mene, mamtsiu"
Pod_169,"Kmeln_ballads_584v_Dala-s mene, mamtsiu"
Pod_170,"Kmeln_ballads_585_Dala-s mene, moia nenko"
Pod_171,Kmeln_ballads_586_i Dala-s mene moia maty
Pod_172,Kmeln_ballads_587_Oi pidu ya v lis po drova
Pod_173,Kmeln_ballads_588_Oi tam za horoiu
Pod_174,Kmeln_ballads_590_Oi pidu ya v lis po drova
Pod_175,Kmeln_ballads_591_Oi pidu ya v lis po drova
Pod_176,Kmeln_ballads_591v2_Oi pidu ya v lis po drova
Pod_177,Kmeln_ballads_593_Yak poikhav
Pod_178,Kmeln_ballads_597v1_Bula sobi Hanzia
Pod_179,Kmeln_ballads_597v2_Bula sobi Hanzia
Pod_181,Kmeln_ballads_599_A v poli bereza
Pod_182,Kmeln_ballads_599v1_A v poli bereza
Pod_183,Kmeln_ballads_599v2_A v poli bereza
Pod_184,"Kmeln_ballads_600_Chy rada ty, nenko"
Pod_185,"Kmeln_ballads_601_Chy rada ty, maty"
Pod_186,Kmeln_ballads_604_Oi za haiom zelenenkym
Pod_187,Kmeln_ballads_604v1_Oi za haiom zelenenkym
Pod_188,Kmeln_ballads_604v2_Oi za haiom zelenenkym
Pod_189,Kmeln_ballads_605_Oi za haiem zelenenkym
Pod_190,Kmeln_ballads_607_Oi z-za hory
Pod_191,Kmeln_ballads_608_Da chorna y khmara nastupyla
Pod_192,Kmeln_ballads_609v_Tuman yarom pokotyvsia
Pod_193,Kmeln_ballads_611_U poliu mohyla
Pod_194,Kmeln_ballads_612_Oi rospyvsia Vasylechko
Pod_195,"Kmeln_ballads_613_Za Vasylom, za Vasylom"
Pod_196,Kmeln_ballads_615v_Nashcho zh bo ya povdovila
Pod_198,"Kmeln_ballads_616v_Oi ne hnysia, hrushko rasna"
Pod_199,Kmeln_ballads_617v_Pid biloiu berezoiu
Pod_200,Kmeln_ballads_618_Pid biloiu berezoiu
Pod_202,Kmeln_ballads_621_Yide sestra po rynochku
Pod_203,Kmeln_ballads_624_Zapriazhu ya voly
Pod_204,Kmeln_ballads_624v1_Zapriazhu ya voly
Pod_205,Kmeln_ballads_624v2_Zapriazhu ya voly
Pod_206,Kmeln_ballads_626_Oi posiiu khmeliu zelenoho
Pod_207,Kmeln_ballads_627v_Zhyla sobi vdova
Pod_209,Kmeln_ballads_631_Oi viddala maty dochku
Pod_210,Kmeln_ballads_631v1_Oi viddala maty dochku
Pod_211,"Kmeln_ballads_632_Oi ternom, ternom"
Pod_212,"Kmeln_ballads_632v1_Oi ternom, ternom"
Pod_213,"Kmeln_ballads_632v2_Oi ternom, ternom"
Pod_214,Kmeln_ballads_633_Ya v svoiei matinky
Pod_215,"Kmeln_ballads_634_Oi z-za hory, hory"
Pod_216,"Kmeln_ballads_636_Akh, yakby ya mamu mala"
Pod_217,Kmeln_ballads_638_Oi letila zazulechka
Pod_218,Kmeln_ballads_639_Oi letila zazulyna
Pod_219,Kmeln_ballads_640_i Oi letila zozulenka
Pod_220,Kmeln_ballads_641_Oi letila zozulenka
Pod_221,"Vinnytsia_ballads_542_Oj z-za hory, z-za hory"
Pod_222,"Vinnytsia_ballads_542v_Oj z-za hory, z-za hory"
Pod_224,"Vinnytsia_ballads_544_Ne sijala, ne orala"
Pod_225,"Vinnytsia_ballads_544v_Ne sijala, ne orala"
Pod_226,"Vinnytsia_ballads_545_Oj ishov ja, jshov ja"
Pod_227,"Vinnytsia_ballads_545v_Oj ishov ja, jshov ja"
Pod_228,Vinnytsia_ballads_546_U poli hora
Pod_229,"Vinnytsia_ballads_547_Oj ty, Hrytsju, Hrytsju"
Pod_230,"Vinnytsia_ballads_547v_Oj ty, Hrytsju, Hrytsju"
Pod_231,Vinnytsia_ballads_548_Oj letila zozulen'ka
Pod_232,Vinnytsia_ballads_549_Oj chyye to pole
Pod_233,Vinnytsia_ballads_549v_Oj chyye to pole
Pod_234,Vinnytsia_ballads_550_Oj u sadu vyshnja
Pod_235,Vinnytsia_ballads_551_Oj na hori jachmin'
Pod_236,Vinnytsia_ballads_552_Oj u poli kyrnychen'ka
Pod_237,Vinnytsia_ballads_552v_Oj u poli kyrnychen'ka
Pod_242,Vinnytsia_ballads_556_Teche richka nevelychka
Pod_244,Vinnytsia_ballads_556v1_Teche richka nevelychka
Pod_245,"Vinnytsia_ballads_557_Bula v poli, narobylas'"
Pod_246,"Vinnytsia_ballads_557v_Bula v poli, narobylas'"
Pod_247,"Vinnytsia_ballads_557v1_Bula v poli, narobylas'"
Pod_248,Vinnytsia_ballads_558_Na horodi chornobel'
Pod_249,Vinnytsia_ballads_559_A v horodi chornomyn
Pod_250,Vinnytsia_ballads_559v_A v horodi chornomyn
Pod_252,Vinnytsia_ballads_561_U nashomu seli
Pod_253,Vinnytsia_ballads_561v_U nashomu seli
Pod_254,"Vinnytsia_ballads_562_Tykha, tykha"
Pod_256,Vinnytsia_ballads_563_Oj u luzi
Pod_257,Vinnytsia_ballads_563v_Oj u luzi
Pod_258,Vinnytsia_ballads_563v1_Oj u luzi
Pod_267,Vinnytsia_ballads_569_Za horamy hory vysoki
Pod_268,Vinnytsia_ballads_570_Oj u jaru hlibokim
Pod_269,Vinnytsia_ballads_570v_Oj u jaru hlibokim
Pod_270,Vinnytsia_ballads_571_Oj u jaru hlyboko
Pod_271,Vinnytsia_ballads_571v_Oj u jaru hlyboko
Pod_272,Vinnytsia_ballads_572_Zhyla vdova na Podoli
Pod_273,Vinnytsia_ballads_573_Oj zhyla vdova
Pod_274,"Vinnytsia_ballads_574_Oj za hayem, hayem"
Pod_275,Vinnytsia_ballads_575_U Kyyivi na Podoli
Pod_276,Vinnytsia_ballads_575v_U Kyyivi na Podoli
Pod_277,Vinnytsia_ballads_576_Oj u poli na rozdoli
Pod_278,Vinnytsia_ballads_577_Oj vyjshov misjats' iz-za khmary
Pod_279,Vinnytsia_ballads_577v_Oj vyjshov misjats' iz-za khmary
Pod_280,"Vinnytsia_ballads_578_Zajdy, zajdy, misjachen'ku"
Pod_281,"Vinnytsia_ballads_579_Oj u luzi, v luzi kalyna"
Pod_282,"Vinnytsia_ballads_580_Oj verbo, verbo"
Pod_283,Vinnytsia_ballads_581_Koly b ne zima
Pod_284,Vinnytsia_ballads_581v_Koly b ne zima
Pod_285,Vinnytsia_ballads_582_Oj tam na hori
Pod_286,Vinnytsia_ballads_583_Oj na splavu
Pod_287,Vinnytsia_ballads_583v_Oj na splavu
Pod_288,Vinnytsia_ballads_583v1_Oj na splavu
Pod_289,Vinnytsia_ballads_584_Oj jakby ja do Kyyeva
