model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.2572,0.0079,0.2568,411.4
Linear_SVM,0.1429,0.005,0.2347,411.4
