model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5963,0.0108,0.6668,548.0
Linear_SVM,0.2832,0.0276,0.4827,548.0
