model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.2624,0.0263,0.2509,418.6
Linear_SVM,0.0825,0.01,0.1721,418.6
