rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_nl,std_prob_nl,mean_diff (b - a)
1,topic_16,16,0.526647,nl,0.041255,0.183034,0.22768,0.376378,0.186426
2,topic_14,14,0.316159,nl,0.033567,0.160272,0.130892,0.303931,0.097325
3,topic_11,11,-0.266649,cs,0.159309,0.34247,0.034787,0.169254,-0.124522
4,topic_18,18,-0.242915,cs,0.190139,0.364463,0.05801,0.205404,-0.132129
5,topic_2,2,0.164731,nl,0.0,0.0,0.028531,0.157745,0.028531
