model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.6505,0.0205,0.692,303.0
Linear_SVM,0.5041,0.0358,0.6095,303.0
