model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.3907,0.0459,0.5187,300.0
Linear_SVM,0.2801,0.0097,0.4363,300.0
