model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.4516,0.0418,0.5349,230.6
Linear_SVM,0.4192,0.0231,0.5105,230.6
