model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.2676,0.0361,0.2638,430.6
Linear_SVM,0.0517,0.0043,0.1322,430.6
