model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5677,0.0356,0.7067,447.6
Linear_SVM,0.1023,0.0089,0.4741,447.6
