component,explained_variance_ratio,cumulative_variance
217,0.001152786,0.6479745
218,0.0011458223,0.64912033
219,0.00113818,0.6502585
220,0.0011344489,0.65139294
221,0.0011320227,0.65252495
222,0.0011268104,0.6536518
223,0.0011215963,0.65477335
224,0.0011189848,0.6558923
225,0.0011177919,0.6570101
226,0.0011121368,0.65812224
227,0.0011062381,0.6592285
228,0.0010996312,0.66032815
229,0.0010983545,0.6614265
230,0.0010898135,0.6625163
231,0.0010861551,0.6636025
232,0.001084177,0.6646866
233,0.0010799983,0.6657666
234,0.0010765264,0.6668431
235,0.0010691389,0.66791224
236,0.0010666117,0.66897887
237,0.0010501046,0.670029
238,0.0010488925,0.67107785
239,0.0010456445,0.6721235
240,0.0010402927,0.6731638
241,0.001037189,0.67420095
242,0.0010331643,0.67523414
243,0.001027837,0.67626196
244,0.0010241601,0.67728615
245,0.0010150095,0.67830116
246,0.0010105738,0.67931175
247,0.0010087133,0.68032044
248,0.0010072804,0.6813277
249,0.000998825,0.68232656
250,0.0009961217,0.68332267
251,0.0009888398,0.6843115
252,0.0009873935,0.6852989
253,0.0009851871,0.6862841
254,0.0009823731,0.68726647
255,0.0009787215,0.6882452
256,0.0009716505,0.68921685
257,0.0009695691,0.69018644
258,0.0009652881,0.69115174
259,0.000962372,0.6921141
260,0.0009596845,0.6930738
261,0.00095779204,0.6940316
262,0.0009557987,0.6949874
263,0.0009540469,0.69594145
264,0.00094839255,0.6968898
265,0.0009397374,0.69782954
266,0.00093595195,0.6987655
267,0.00093432685,0.6996998
268,0.00093096006,0.7006308
269,0.0009262847,0.70155704
270,0.0009215839,0.70247865
271,0.0009195303,0.70339817
272,0.00091786816,0.704316
273,0.0009117394,0.70522773
274,0.0009099526,0.70613766
275,0.00090689486,0.70704454
276,0.00090486783,0.7079494
277,0.0009014698,0.70885086
278,0.0008998087,0.70975065
279,0.00089568074,0.71064633
280,0.0008930696,0.7115394
281,0.0008926496,0.712432
282,0.00088061934,0.7133126
283,0.00087831664,0.71419096
284,0.0008779544,0.71506894
285,0.00087075087,0.7159397
286,0.0008662611,0.71680593
287,0.0008631605,0.71766907
288,0.0008595108,0.71852857
289,0.0008562627,0.71938485
290,0.00085121446,0.72023606
291,0.0008488738,0.72108495
292,0.00084499206,0.72192997
293,0.0008423002,0.72277224
294,0.0008396455,0.7236119
