id	assigned_topic	topic_label	lang
Erb_1809	101	101_little maiden_golden maiden_little dove_farmer wife	cs
Erb_1811	124	124_horse god_little horse_altar_wife little	cs
Erb_1814	124	124_horse god_little horse_altar_wife little	cs
Erb_1815	75	75_maidens young_honzíček_men maidens_roses	cs
Erb_1816	130	130_mourn_hurts mother_little soldier_thorns	cs
Erb_1817	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1818	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1819	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1820	137	137_horses_rye_buns_buy horse	cs
Erb_1821	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1823	124	124_horse god_little horse_altar_wife little	cs
Erb_1824	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1827	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_1828	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1829	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1831	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1833	133	133_little horses_whip_poppy_love little	cs
Erb_1834	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1836	75	75_maidens young_honzíček_men maidens_roses	cs
Erb_1838	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1839	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1840	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_1843	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1844	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1848	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_1858	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_1860	60	60_bridesmaid_bridesmaids_farewell dear_little wine	cs
Erb_1861	124	124_horse god_little horse_altar_wife little	cs
Erb_1864	140	140_hay_pasture_little grandmother_grass little	cs
Erb_1865	124	124_horse god_little horse_altar_wife little	cs
Erb_1866	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1867	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1868	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1872	88	88_mother poor_poor mother_dear parents_mother raised	cs
Erb_1873	93	93_poor maiden_fair maiden_white maiden_wove wreath	cs
Erb_1874	17	17_dear maiden_joy sorrow_lordly_duty	cs
Erb_1875	88	88_mother poor_poor mother_dear parents_mother raised	cs
Erb_1876	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1877	120	120_gentle little_dear brothers_fly little_dear daddy	cs
Erb_1878	124	124_horse god_little horse_altar_wife little	cs
Erb_1879	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1882	124	124_horse god_little horse_altar_wife little	cs
Erb_1883	129	129_beloved dear_loved faithfully_silent dear_dear andulka	cs
Erb_1884	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1887	93	93_poor maiden_fair maiden_white maiden_wove wreath	cs
Erb_1890	124	124_horse god_little horse_altar_wife little	cs
Erb_1893	101	101_little maiden_golden maiden_little dove_farmer wife	cs
Erb_1894	105	105_beautiful hay_hay cutter_washed head_wool	cs
Erb_1895	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1896	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_1897	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1898	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1905	53	53_rice field_yangsan_weed field_weed fields	cs
Erb_1907	133	133_little horses_whip_poppy_love little	cs
Erb_1909	72	72_sail sea_sail_sailor_sailed	cs
Erb_1910	118	118_golden maiden_little wreath_nightingale_dove dear	cs
Erb_1915	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_1917	139	139_tree apple_apple tree_tree seen_barley field	cs
Erb_1918	134	134_ran away_nanynka_chasing_wounds	cs
Erb_1924	133	133_little horses_whip_poppy_love little	cs
Erb_1928	129	129_beloved dear_loved faithfully_silent dear_dear andulka	cs
Erb_1929	101	101_little maiden_golden maiden_little dove_farmer wife	cs
Erb_1930	75	75_maidens young_honzíček_men maidens_roses	cs
Erb_1931	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1932	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1934	103	103_dog went_went herd_whistled_nest forest	cs
Erb_1940	133	133_little horses_whip_poppy_love little	cs
Erb_1942	129	129_beloved dear_loved faithfully_silent dear_dear andulka	cs
Erb_1943	75	75_maidens young_honzíček_men maidens_roses	cs
Erb_1944	123	123_praise joyful_joyful spirit_joy rejoice_celebration	cs
Erb_1945	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1946	124	124_horse god_little horse_altar_wife little	cs
Erb_1948	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1950	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1951	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1952	133	133_little horses_whip_poppy_love little	cs
Erb_1955	124	124_horse god_little horse_altar_wife little	cs
Erb_1957	124	124_horse god_little horse_altar_wife little	cs
Erb_1958	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1959	124	124_horse god_little horse_altar_wife little	cs
Erb_1967	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1968	124	124_horse god_little horse_altar_wife little	cs
Erb_1969	133	133_little horses_whip_poppy_love little	cs
Erb_1970	133	133_little horses_whip_poppy_love little	cs
Erb_1972	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1973	124	124_horse god_little horse_altar_wife little	cs
Erb_1974	130	130_mourn_hurts mother_little soldier_thorns	cs
Erb_1978	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1979	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1980	124	124_horse god_little horse_altar_wife little	cs
Erb_1981	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_1982	93	93_poor maiden_fair maiden_white maiden_wove wreath	cs
Erb_1984	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_1987	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1988	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1989	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1991	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1992	57	57_dear jeníček_scripture_marries_harshly	cs
Erb_1993	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_1994	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_1995	124	124_horse god_little horse_altar_wife little	cs
Erb_1997	133	133_little horses_whip_poppy_love little	cs
Erb_1999	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_2003	130	130_mourn_hurts mother_little soldier_thorns	cs
Erb_2004	133	133_little horses_whip_poppy_love little	cs
Erb_2005	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_2009	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_2013	120	120_gentle little_dear brothers_fly little_dear daddy	cs
Erb_2016	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2017	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2018	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_2020	115	115_joyful wedding_dear mother_little horses_mother gave	cs
Erb_2022	99	99_beloved little_beloved girl_lord little_dear andulka	cs
Erb_2023	85	85_violet_comfort heart_peacock feathers_little heart	cs
Erb_2024	60	60_bridesmaid_bridesmaids_farewell dear_little wine	cs
Erb_2025	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2026	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2027	120	120_gentle little_dear brothers_fly little_dear daddy	cs
Erb_2034	129	129_beloved dear_loved faithfully_silent dear_dear andulka	cs
Erb_2036	107	107_confess_nuns_love girl_wounds	cs
Erb_2039	133	133_little horses_whip_poppy_love little	cs
Erb_2040	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2041	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2044	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2048	129	129_beloved dear_loved faithfully_silent dear_dear andulka	cs
Erb_2049	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2051	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2052	142	142_little bouquet_dear ones_soldiers_little feet	cs
Erb_2054	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2055	105	105_beautiful hay_hay cutter_washed head_wool	cs
Erb_2056	105	105_beautiful hay_hay cutter_washed head_wool	cs
Erb_2057	124	124_horse god_little horse_altar_wife little	cs
Erb_2058	120	120_gentle little_dear brothers_fly little_dear daddy	cs
Erb_2059	105	105_beautiful hay_hay cutter_washed head_wool	cs
Erb_2060	118	118_golden maiden_little wreath_nightingale_dove dear	cs
Erb_2061	139	139_tree apple_apple tree_tree seen_barley field	cs
Erb_2062	133	133_little horses_whip_poppy_love little	cs
Erb_2063	60	60_bridesmaid_bridesmaids_farewell dear_little wine	cs
Erb_2065	124	124_horse god_little horse_altar_wife little	cs
Erb_2067	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2068	133	133_little horses_whip_poppy_love little	cs
Erb_2069	0	0_midsummer_mother grave_hay_rise dear	cs
Erb_2070	105	105_beautiful hay_hay cutter_washed head_wool	cs
Erb_2072	105	105_beautiful hay_hay cutter_washed head_wool	cs
