model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.6494,0.0215,0.6454,186.2
Linear_SVM,0.6993,0.0183,0.6984,186.2
