rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_nl,std_prob_nl,mean_diff (b - a)
1,topic_20,20,2.577907,nl,0.0044,0.040525,0.587844,0.437016,0.583444
2,topic_26,26,-1.05979,cs,0.105514,0.26937,0.007413,0.043965,-0.0981
3,topic_29,29,-0.713274,cs,0.159618,0.340025,0.012169,0.066067,-0.147448
4,topic_27,27,-0.477874,cs,0.064064,0.215723,0.004394,0.041973,-0.05967
5,topic_34,34,-0.210643,cs,0.076852,0.241985,0.020364,0.106424,-0.056488
