rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_et,std_prob_et,mean_diff (b - a)
1,topic_27,27,-0.672285,cs,0.064064,0.215723,0.003317,0.032836,-0.060747
2,topic_24,24,0.668071,et,0.0,0.0,0.01318,0.104238,0.01318
3,topic_26,26,-0.64736,cs,0.105514,0.26937,0.014124,0.107255,-0.09139
4,topic_21,21,0.594344,et,0.0,0.0,0.044763,0.190256,0.044763
5,topic_33,33,0.558138,et,0.0,0.0,0.007139,0.041549,0.007139
