rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_ko,std_prob_ko,mean_diff (b - a)
1,topic_19,19,5.532771,ko,0.0,0.0,0.099487,0.276084,0.099487
2,topic_33,33,4.390559,ko,0.0,0.0,0.084315,0.255638,0.084315
3,topic_31,31,1.523495,ko,0.0,0.0,0.011478,0.097503,0.011478
4,topic_24,24,0.82782,ko,0.0,0.0,0.014826,0.092949,0.014826
5,topic_26,26,-0.599779,cs,0.105514,0.26937,0.005586,0.07143,-0.099928
