model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.6551,0.0164,0.6986,284.0
Linear_SVM,0.532,0.0212,0.6383,284.0
