model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5715,0.0051,0.6376,494.0
Linear_SVM,0.4859,0.0316,0.6218,494.0
