model,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_n_pca_components_mean
RBF_SVM,0.5819,0.029,0.6255,57.6
Linear_SVM,0.5925,0.0339,0.6491,57.6
